spd_bin,lcr_sec1_acc_ave,lcr_sec1_acc_var,lcr_sec1_dec_ave,lcr_sec1_dec_var,lcr_sec1_lfc_lt_ave,lcr_sec1_lfc_lt_var,lcr_sec1_lfc_rt_ave,lcr_sec1_lfc_rt_var,lcr_sec2_acc_ave,lcr_sec2_acc_var,lcr_sec2_dec_ave,lcr_sec2_dec_var,lcr_sec2_lfc_lt_ave,lcr_sec2_lfc_lt_var,lcr_sec2_lfc_rt_ave,lcr_sec2_lfc_rt_var
0-15,0.06577891920501724,0.004167746967264522,-0.04783052934562227,0.0028744707585337806,-0.010638270424329103,0.00031986333180362465,0.03093016055185679,0.0011349122604923003,0.060389289096462746,0.005376661019753819,-0.05727444282501529,0.0035293543803060095,-0.022046106327722814,0.0008922940588460409,0.014222567303431136,0.0005460478356502696
15-25,0.09304270194902467,0.005958290420944694,-0.10319848286698888,0.0038383502940311305,-0.028707101760855867,0.0018097914272774244,0.08347236483440401,0.0028961341794939257,0.10533610783900814,0.0044941007115393014,-0.07019023261922754,0.00282620849091617,-0.06030493805297223,0.0025250745345942356,0.051028711942801216,0.00328306499934406
25-35,0.07520190404958152,0.004631931376532799,-0.09969592928239773,0.004359730905109745,-0.04102059053419771,0.0033880761994952665,0.09613175925440232,0.0029881326067080416,0.11634337505416571,0.0020190713842232937,-0.09036807185616265,0.008434055631872136,-0.07004073187365291,0.0015898394700170505,0.08928308620581171,0.006367673925183273
35-45,0.05935650558861005,0.0009848400363719353,-0.07323541141982022,0.004460649297672981,-0.010329031727088945,5.8580763030670364e-05,0.1304396989479363,0.0024012206151884184,0.06344430175808918,0.0013495453718550144,-0.0627966710461733,0.0020004030394392912,-0.07021510455685391,0.0032308004289537417,0.054537683363881054,0.0018910580211948785
45+,0.05053437688544866,0.003188759398834836,-0.059198762552798344,0.0034719832550169937,-0.004395672658425332,1.1742904315779836e-05,0.15971033645877275,0.003179291640821101,0.04256953169514544,0.0012727712437274109,-0.045771121555995414,0.001662994076869249,-0.043870292548040556,0.004759741337383649,0.07929725198569067,0.0025068491024282085
