spd_bin,lcl_sec1_acc_ave,lcl_sec1_acc_var,lcl_sec1_dec_ave,lcl_sec1_dec_var,lcl_sec1_lfc_lt_ave,lcl_sec1_lfc_lt_var,lcl_sec1_lfc_rt_ave,lcl_sec1_lfc_rt_var,lcl_sec2_acc_ave,lcl_sec2_acc_var,lcl_sec2_dec_ave,lcl_sec2_dec_var,lcl_sec2_lfc_lt_ave,lcl_sec2_lfc_lt_var,lcl_sec2_lfc_rt_ave,lcl_sec2_lfc_rt_var
0-15,0.0686173114563867,0.0032821452961215108,-0.07119332667044571,0.003012995700199993,-0.03731950078220636,0.0010743422516817382,0.011145542357665156,0.000259411376419577,0.07243578965357836,0.005040420519805849,-0.06547480209744276,0.002698925348325563,-0.015438353189547482,0.00045210641283768057,0.031810150638558535,0.0010750329658378108
15-25,0.10814864043459442,0.005858699841916327,-0.1095184235353427,0.005351577190469772,-0.07708022517789696,0.0016446009625544031,0.02015796265121492,0.0006214637102842215,0.10463140752655713,0.006200257466601651,-0.08244702420233326,0.0041276856351248,-0.040696304275791594,0.0018510448889711342,0.047065285196090524,0.000520804573074615
25-35,0.05988608169948303,0.003277551191130225,-0.07056370507068757,0.00628207761279177,-0.10882986151299677,0.004170886990146951,0.04390694920540193,0.0028359250499284086,0.12676346171590486,0.0065631983549589755,-0.05701117939828593,0.0016562365267445381,-0.031045815434255518,0.00025662898076406454,0.0660112050240323,0.0008700053568140508
35-45,0.05615422457042831,0.0023044304807538106,-0.033220208992651164,0.0010409577632725345,-0.1257450985931663,0.0030719805374204803,0.04111727381390255,0.0013774092518439311,0.07982715912036355,0.0033829592762832546,-0.026927411374309474,0.0018380950621393203,-0.06305556316309488,0.002432410045159338,0.09855668155737098,0.0013939892931387995
45+,0.0640951336462681,0.001990964517230629,-0.04228707227116849,0.000146157382480755,-0.12596044804465048,0.0016224342627297866,0.026283092244313067,0.0008088531636877414,0.09874036189543897,0.0032900059611411492,-0.08187510675955328,0.0023668667835794193,-0.0711756952648652,0.0011779798711245822,0.053829043872709786,0.002381301060116187
