spd_bin,acc_ave,acc_var,dec_ave,dec_var
0-15,0.08543486728066747,0.0018779816987660016,-0.09117726289376468,0.002351340307457198
15-25,0.20262075685880815,0.013525947274088504,-0.22736271852915474,0.015810088566602893
25-35,0.3062709135863055,0.03299895729947658,-0.3539193604398968,0.03745948644636353
35-45,0.3865497204557616,0.04664110405419375,-0.4567164743760794,0.0708452723587295
45+,0.4086858769981023,0.029386230704653057,-0.46337799614170627,0.060588686310665975
