spd_bin,ltt_sec1_acc_ave,ltt_sec1_acc_var,ltt_sec1_dec_ave,ltt_sec1_dec_var,ltt_sec1_lat_lt_ave,ltt_sec1_lat_lt_var,ltt_sec1_lat_rt_ave,ltt_sec1_lat_rt_var,ltt_sec2_acc_ave,ltt_sec2_acc_var,ltt_sec2_dec_ave,ltt_sec2_dec_var,ltt_sec2_lat_lt_ave,ltt_sec2_lat_lt_var,ltt_sec2_lat_rt_ave,ltt_sec2_lat_rt_var,ltt_sec3_acc_ave,ltt_sec3_acc_var,ltt_sec3_dec_ave,ltt_sec3_dec_var,ltt_sec3_lat_lt_ave,ltt_sec3_lat_lt_var,ltt_sec3_lat_rt_ave,ltt_sec3_lat_rt_var
0-15,0.026365903933232036,0.0002400990435307699,-0.026597811648280376,0.0003206366337450991,0.02453970493470686,0.00022447448417137666,-0.01630619003388756,0.00017875600758505476,0.029240650917251875,0.0003379427428345751,-0.03225531488766149,0.0004900579641103015,0.04148304601643542,0.0005690116256725897,-0.023390465219027046,0.0003032925057612098,0.02286317343453096,0.00014973826431219486,-0.031261411855656375,0.00023124262139939816,0.022212038403795084,0.00020757912271039114,-0.030761663239767683,0.00014990375210372802
15-25,0.023718488663367815,0.00017865649460002242,-0.038038051060263894,0.0003824688892600007,0.0401821154049652,0.0003884354322444022,-0.012188311870129446,6.365382587939122e-05,0.032985694750186124,0.00045190400195581446,-0.031003965041876146,0.0003982069083895199,0.04971182292427183,0.0007311922274647852,-0.025524844789444227,0.0002725320020796887,0.020121676498307144,0.00016358744932840134,-0.02574480340649409,0.0001610826291013579,0.02329579073074478,0.00019253218213437806,-0.04335586944679413,0.00021720095513609562
25-35,0.025847337862164553,0.00020388480184127067,-0.041492737002408214,0.00032930490763020736,0.05156844373267644,0.0006556006493379948,-0.018906625514274022,0.00013072923760312123,0.028154828669548267,0.0003483134471366259,-0.03894297483304425,0.0006279939129773287,0.05985580477340451,0.0010750097219950111,-0.02332041109684502,0.00019833209515048863,0.01798701953134661,9.439948181418138e-05,-0.02782677328054701,0.0001546677079380287,0.031532235308465814,0.0005487327385320863,-0.04499016142617166,0.00023865738942375242
35-45,0.01904733933282481,0.00016146975083883237,-0.03698984906179242,0.0003661812602145749,0.05579715999124378,0.0005468870335194468,-0.017089978392182,0.00013173381016972567,0.03373167194755302,0.0006325809942915434,-0.03295531168568307,0.0003713111411008511,0.06150025608301205,0.0012196261754718171,-0.025052537661310145,0.0002804474892306611,0.015597321235514782,7.061708330906665e-05,-0.028101779306803677,0.0001964425624214828,0.06110408697388513,0.0017147686948014943,-0.05459168174043641,0.00028287200518298505
45+,0.02052335690434713,0.0001483567405913661,-0.029221818304439765,0.00015467555985599615,0.0570087430904341,0.000412975658728138,-0.01296616564149871,7.454493025176448e-05,0.01310109604750053,6.888824084930732e-05,-0.03306107206589965,0.0003360159845358471,0.04142785613036929,0.00046237203131289093,-0.02245459013683843,0.0002346686910561813,0.020890058317926778,7.137617194088899e-05,-0.030589114221892352,0.00018614472599378528,0.02511544568445282,0.0007304925761171078,-0.05528123070870313,0.0004487383927402456
